Plan Repository From All Service Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,planID,productOffering.market segment,productOffering.businessType,productOffering.place,"popularity
index","productOffering.isBundled
","productOffering.planType
data only etc (TBD)",productOffering.customerType,productOffering.name,productOffering.productOfferingPrice ($),,,,,,,,,serviceSpecificationChar,,,,,,,,,,,,,,,,,productOffering.salesChannel,productOffering.productOfferingPrice,,productSpec(Addons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1 line,2 lines,3 line,4+ lines,SIM Cost,activationFee,recurringChargePeriodType,tax (%),Toatl Price,name(Data) (GB),name(High-Speed Data Limit),name(High-Speed Data bandwidth (Mbps),Reduced Speed Data bandwidth (Mbps),name(Data Carryover ),name(Voice),name(SMS),name(5G Access),name(Streaming Quality),name(International) ,,,,name(Voicemail),name(Hotspot Data),,name(WiFi calling),,"priceType(Auto Pay)
price ($)","priceType(Special Disc)
price/UOM",productSpecChar.name(OTT),,,,productSpecChar.name(International Pass),,,productSpecChar.name(Mobile Protection),,,,productSpecChar.name(Cloud Storage),,,productSpecChar.name(ISD),,,productSpecChar.name(InFlight Services),,,,productSpecChar.name(memberships),,productSpecChar.name(Security),,Handset,,,,,
,,,,,,,,,,Price/UOM,Price/UOM,Price/UOM,Price/UOM,Price/UOM,price/UOM,,,,serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(value/UOM),serviceSpecCharacteristicValue(Data) (GB),serviceSpecCharacteristicValue(Voice),serviceSpecCharacteristicValue(SMS),serviceSpecCharacteristicValue(CountriesSupported),,Value (GB),price,,,,,price,provider,isDefault,duration (months),price ($/line),duration (days),isDefault,Price ($),duration (months),isDefault,Remarks,quota (GB),price,isDefault,service,price,isDefault,service (hours),price ($),duration (days),isDefault,service,isDefault,service,isDefault,Handset Provider,variant,colour,capacity (GB),price ($),type
Operator A -Z ,"Unique Alphanumeric 
Plan ID
(Start with PO as suffix after that 4 numeric IDs)","General , Military and veterans , Teachers , Nurses and physicians , 
Students , Unions , Business employees , AARP , First responders , 55+",Prepaid,"Los Angeles , Dallas,
New York , Las Vegas.
Any other city will also work","For each operator mark   one of its plan as"" Best Value"" or ""Most popular"" ","TRUE = Data , Voice , SMS,OTT(optional),Handset (Optional)
FALSE =Data only plans",,"""Individual"" / ""Family & CUG""","Any relevant plan as mentioned 
above in column J","Price ranging from 10$ to 100$

This column will be populated
when customerType is ""Individual""","Price ranging from 10$ to 100$
Rule-
If customerType is ""family & CUG"" than populate value in either column L or M or N (not in all)","Price ranging from 10$ to 100$
Rule-
If customerType is ""family & CUG"" than populate value in either column L or M or N (not in all)","Price ranging from 10$ to 100$
Rule-
If customerType is ""family & CUG"" than populate value in either column L or M or N (not in all)",0 - 6,0 - 35,monthly,"0 , 26.8","Total price should be the sum  of all the price columns.

Example: 

Total Cost = One time + activation fee + Sim cost +Tax + Handset (if opted),OTT(if opted)","1,4,5,10,20,50,100,unlimited","Where ever data(column S) is unlimited , populate the value as 30-40 for some rows randomly","Where ever value is 30-40 in column T , 
populate the value as 3-10 herein column U","Where ever there is value out of 3-10 in column U , 
put the 50% of that value here in column V","For any 2 operators where data allowance is less than 50GB , than populate this value as yes else No","1) For any 2 operators assign value as NA in column X
where data allowance value (column S) is other than unlimited 
2) For rest, keep the valueas ""unlimited""","1) For any 2 operators assign value as 
NA in column Y where data allowance value (column S) is other than unlimited 
2) For rest, keep the valueas ""unlimited""",Yes,"SD , HD , 4K UHD","1)For plan with highest price the value  should be""unlimited"".
2)For plan with lowest price the value  should be ""0""
3) For 2 operators where the data allowance is unlimited than assign the value between 5-10 ","1)For plan with highest price the value  should be""unlimited"".
2)For plan with lowest price the value  should be ""0""","1)For plan with highest price the value  should be""unlimited"".
2)For plan with lowest price the value  should be ""0""","For some operators populate random sets of countries out of below list
1. US
2.Mexico
3. Canda
4.South Africa
5.Zimbabwe
6. UAE
7.Israel
8.Oman
9.India
10.Pakistan
11.Sri Lanka
12. UK
13.Italy
14.Switzerland
15 Australia/NZ","For cheapest plan populate 
the value as NO else Yes","1) For Unlimited plans populate the value between 50-100.

2) For rest of the plans populate the value between 0-30",0,"For cheapest plan populate 
the value as NO else Yes","Online,Store,App ","1) For any two operators populate the value as 10 
2) For rest populate the value as 5
3) For any other 2 operators keep the value as 0","Refer marketSegment (column C) which 
has following categories. Special discount is on overall price.

General - 0%
Military - 0-25%
Nurse -0-25%
AARP -0-25%
Teachers - 0-25%
Unions -0-25%
Students-0-25%",0,"Assign OTT's out of below list for all the plans where Popularity Index (column F) has some value else populate NA

1) Apple one
2) Netflix
3) Disney+ premium
4) AppleTV
5) Hulu

combo of above values can also be created",Value to be TRUE where ever OTT  provider has value other than NA,"1) Populate value as 1 where  value is AppleOne or Apple TV , Netflix or  Apple TV , Netflix, Hulu  in column AP

2) Populate value as 6 where value is Disney+ premium in column AP

3) Populate value as 0 where value is  NA  in column AP","1) Populate value out of 5  ,10,12  randonly for operators with premium plans.
2) Populate value as NA for remaining operators","1) Populate value as 1 for the plans where value is present in Column AQ
2) Populate value as NA for remaining",FALSE,"1) Randonly populate value between 10-20 for 4 operators.
2) Populate value as NA for remaining","1) Populate value as 1 where value is present in column AT.
2) Populate value as NA for remaining.",FALSE,"1) Populate vaslue as ""price varies as per handset cost"" 
where value is present in corresponding cell of column AV.

2) Populate value as NA for remaining","1) Populate value out of 50-100 for 
any two operators for their unlimited plan",0,"1) Populate value as ""TRUE"" where value is out of 50-100 in column AX
2) Populate value ""FALSE"" for remaining.","1) For any one operator populate the value as 20$ for its unlimited plan
2) Populate value as 0 for remaining",0,"1) Populate value as ""TRUE"" where value is ""20$"" in column BA
2) Populate value ""FALSE"" for remaining.","1) For any 2 operator populate the value  as ""24 "" for Unli mited plans.
2) Pouplate ""0"" for rest of the cells.","1) Populate the price between 0-20 where
 ever the column BD has value as ""24""

2) Populate value as ""0"" for rest of the cells.","1) Populate the value as""1"" where
 ever the column BD has value as ""24""","1) TRUE = Having value in column BD as 24 and column BE  as 0
2)FALSE = Having value in Column BD as 24 and column BE as >0
3) FALSE = Having value in Column BD as 0 and column BE as 0","1) For any one operator populate the value as ""1 year free AAA membership,
Dedicated customer care"" for its unlimited plan.

2) Populate value as ""NA"" for remaining","1) Populate the value as ""TRUE"" where 
value other than NA in column BH.

2) Populate value ""FALSE"" for remaining","1) For one operator populate the value as ""Anti Virus"" for its unlimited plans.
2.  For two operator populate the value as ""Spam filter"" for its unlimited plans.
3) Populate the value as NA for remaining","1) Populate the value as ""TRUE""  where value is out  of ""Anti Virus"" or ""Span Filter"" in column BJ","Apple - Any value (13 , 16 pro , 16 pro max)		
Sansung - Any value (Galaxy S24 FE , Galaxy Z Flip6 , S25 Ultra)
Motorola - Any value (Edge,razr+ 2024)	
Google - Pixel 9


Note: Handset details to be populated only for the plans where isBundled (column ) value is ""TRUE""",,"Blue , Balck ,
 White , Graphite","128 , 256","1) Price range 300-1200
2) Populate value of Apple towards higher side
3) This price has to be added in Total Cost (column S)",one time
Operator A,POA001,General,prepaid,Los Angeles,,TRUE,,Individual,"Operator A Unlimited 
Starter® SL",65,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,13,Black,128,629.99,one time
Operator A,POA002,General,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,60,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator A,POA003,General,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,45,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator A,POA004,General,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,35.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator A,POA005,General,prepaid,New york,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA006,Military and veterans,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator A,POA007,Military and veterans,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA008,Military and veterans,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator A,POA009,Teachers,prepaid,New york,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator A,POA010,Teachers,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator A,POA011,Teachers,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,13,Black,128,629.99,one time
Operator A,POA012,Teachers,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator A,POA013,Nurses and physicians,prepaid,New york,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator A,POA014,Nurses and physicians,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator A,POA015,Nurses and physicians,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA016,Nurses and physicians,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator A,POA017,Students,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA018,Students,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator A,POA019,Unions,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator A,POA020,Unions,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator A,POA021,Unions,prepaid,New york,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,13,Black,128,629.99,one time
Operator A,POA022,Unions,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator A,POA023,Business employees,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator A,POA024,Business employees,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator A,POA025,Business employees,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA026,Business employees,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator A,POA027,AARP,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA028,AARP,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator A,POA029,AARP,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,Edge,Blue,256,299.99,one time
