Plan Repository From All Service Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator A,POA030,AARP,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator A,POA031,General,prepaid,Dallas,,TRUE,,Individual,"Operator A PREPAID 
Unlimited MAX℠",65,65,65,65,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,20+ latin ,Yes,25,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,100,0,TRUE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,13,Black,128,629.99,one time
Operator A,POA032,General,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,45,45,45,45,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator A,POA033,Military and veterans,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator A,POA034,Teachers,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator A,POA035,Nurses and physicians,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA036,Students,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator A,POA037,Unions,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA038,Business employees,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator A,POA039,AARP,prepaid,New york,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator A,POA040,General,prepaid,New york,,FALSE,,Individual,AT&T Prepaid data 15GB,35,,,,0,0,monthly,0.0,,15,0,0,0,No,0,0,Yes,HD,unlimited,unlimited,unlimited,NA,NA,15,0,NO,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator A,POA041,General,prepaid,New york,,FALSE,,Individual,AT&T Prepaid data 100GB,90,,,,0,0,monthly,0.0,,100,0,0,0,No,0,0,Yes,4K UHD,unlimited,unlimited,unlimited,NA,NA,15,0,NO,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,13,Black,128,629.99,one time
Operator B (champion),POCH001,General,prepaid,New york,,TRUE,,Individual,Infinite Plus,80,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro max,Black,256,1199.99,one time
Operator B (champion),POCH002,General,prepaid,New york,,TRUE,,Family & CUG,Infinite Plus,,70,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator B (champion),POCH003,General,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,55,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator B (champion),POCH004,General,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,,45,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH005,Nurses,prepaid,Dallas,,TRUE,,Individual,Infinite Plus,70,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator B (champion),POCH006,Nurses,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,57.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH007,Nurses,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,46.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator B (champion),POCH008,Nurses,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,,40,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Motorola,Edge,Blue,256,299.99,one time
Operator B (champion),POCH009,students,prepaid,Dallas,,TRUE,,Individual,Infinite Plus,70,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator B (champion),POCH010,students,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,57.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,13,Black,128,629.99,one time
Operator B (champion),POCH011,Military and veterans,prepaid,Dallas,,TRUE,,Individual,Infinite Plus,70,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro max,Black,256,1199.99,one time
Operator B (champion),POCH012,Military and veterans,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,57.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator B (champion),POCH013,Military and veterans,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,46.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator B (champion),POCH014,Military and veterans,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,,40,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH015,Teachers,prepaid,Dallas,,TRUE,,Individual,Infinite Plus,70,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator B (champion),POCH016,Teachers,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,57.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH017,Teachers,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,46.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator B (champion),POCH018,Teachers,prepaid,New york,,TRUE,,Family & CUG,Infinite Plus,,,,40,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Motorola,Edge,Blue,256,299.99,one time
Operator B (champion),POCH019,First responders,prepaid,Dallas,,TRUE,,Individual,Infinite Plus,70,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator B (champion),POCH020,First responders,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,57.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,13,Black,128,629.99,one time
Operator B (champion),POCH021,First responders,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,46.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro max,Black,256,1199.99,one time
Operator B (champion),POCH022,First responders,prepaid,Dallas,,TRUE,,Family & CUG,Infinite Plus,,,,40,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,HD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator B (champion),POCH023,General,prepaid,Los Angeles,Best Value,TRUE,,Individual,Infinite Ultimate,90,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator B (champion),POCH024,General,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,80,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH025,General,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,65,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator B (champion),POCH026,General,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,,55,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH027,Nurses,prepaid,Los Angeles,Best Value,TRUE,,Individual,Infinite Ultimate,80,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator B (champion),POCH028,Nurses,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,67.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator B (champion),POCH029,Nurses,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,56.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator B (champion),POCH030,Nurses,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,,50,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,13,Black,128,629.99,one time
