Plan Repository From All Service Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator B (champion),POCH031,Students,prepaid,Los Angeles,Best Value,TRUE,,Individual,Infinite Ultimate,80,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator B (champion),POCH032,Students,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,67.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator B (champion),POCH033,Military and veterans,prepaid,Los Angeles,Best Value,TRUE,,Individual,Infinite Ultimate,80,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator B (champion),POCH034,Military and veterans,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,67.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH035,Military and veterans,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,56.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator B (champion),POCH036,Military and veterans,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,,50,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH037,Teachers,prepaid,Los Angeles,Best Value,TRUE,,Individual,Infinite Ultimate,80,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator B (champion),POCH038,Teachers,prepaid,New york,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,67.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator B (champion),POCH039,Teachers,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,56.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator B (champion),POCH040,Teachers,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,,50,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,13,Black,128,629.99,one time
Operator B (champion),POCH041,First responders,prepaid,Los Angeles,Best Value,TRUE,,Individual,Infinite Ultimate,80,,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator B (champion),POCH042,First responders,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,67.5,,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator B (champion),POCH043,First responders,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,56.67,,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator B (champion),POCH044,First responders,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Infinite Ultimate,,,,50,0,35,monthly,26.8,,Unlimited 5G Ultra Wideband and 5G Nationwide/4G LTE data with premium network access.,0,0,0,No,Unlimited,Unlimited domestic and to 200+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,60,0,Yes,"Online,Store,App",10,0,0,Apple one,TRUE,1,12,1,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,24 hours unlimited internet,20,1,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH045,General,prepaid,New york,,FALSE,,Individual,5GB Plan,40,,,,0,35,monthly,26.8,,5,0,0,0,No,0,0,Yes,HD,0,0,0,NA,Yes,5,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator B (champion),POCH046,General,prepaid,Los Angeles,,FALSE,,Individual,5GB Plan,,30,,,0,35,monthly,26.8,,5,0,0,0,No,0,0,Yes,HD,0,0,0,NA,Yes,5,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
Operator B (champion),POCH047,General,prepaid,Los Angeles,,FALSE,,Individual,5GB Plan,,,30,,0,35,monthly,26.8,,5,0,0,0,No,0,0,Yes,HD,0,0,0,NA,Yes,5,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator B (champion),POCH048,General,prepaid,Los Angeles,,FALSE,,Individual,5GB Plan,,,,30,0,35,monthly,26.8,,5,0,0,0,No,0,0,Yes,HD,0,0,0,NA,Yes,5,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Motorola,Edge,Blue,256,299.99,one time
Operator B (champion),POCH049,General,prepaid,Dallas,,FALSE,,Individual,100GB Plan,80,,,,0,35,monthly,26.8,,100,0,0,0,No,0,0,Yes,4K UHD,0,0,0,NA,Yes,100,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator B (champion),POCH050,General,prepaid,Dallas,,FALSE,,Individual,100GB Plan,,30,,,0,35,monthly,26.8,,100,0,0,0,No,0,0,Yes,4K UHD,0,0,0,NA,Yes,100,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,13,Black,128,629.99,one time
Operator B (champion),POCH051,General,prepaid,Dallas,,FALSE,,Individual,100GB Plan,,,30,,0,35,monthly,26.8,,100,0,0,0,No,0,0,Yes,4K UHD,0,0,0,NA,Yes,100,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro max,Black,256,1199.99,one time
Operator B (champion),POCH052,General,prepaid,Dallas,,FALSE,,Individual,100GB Plan,,,,30,0,35,monthly,26.8,,100,0,0,0,No,0,0,Yes,4K UHD,0,0,0,NA,Yes,100,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator T,POT001,General,prepaid,Dallas,Most Popular,TRUE,,Individual,Go5G Plus,90,,,,0,35,monthly,26.8,,"Unlimited high-speed, 50 premium",0,0,0,No,Unlimited,unlimited,Yes,HD,,,,,Yes,15,0,Yes,"Online,Store,App",5,"10% for 55+, Military, Veterans, First Responders, and Students",0,"Netflix, Apple TV",TRUE,1,5,1,FALSE,15,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Spam filter,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator T,POT004,General,prepaid,Dallas,Most Popular,TRUE,,Family & CUG,Go5G Plus,,70,,,0,35,monthly,26.8,,"Unlimited high-speed, 50 premium",0,0,0,No,Unlimited,unlimited,Yes,HD,,,,,Yes,15,0,Yes,"Online,Store,App",5,"10% for 55+, Military, Veterans, First Responders, and Students",0,"Netflix, Apple TV",TRUE,1,5,1,FALSE,15,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator T,POT007,General,prepaid,Dallas,Most Popular,TRUE,,Family & CUG,Go5G Plus,,,45,,0,35,monthly,26.8,,"Unlimited high-speed, 50 premium",0,0,0,No,Unlimited,unlimited,Yes,HD,,,,,Yes,15,0,Yes,"Online,Store,App",5,"10% for 55+, Military, Veterans, First Responders, and Students",0,"Netflix, Apple TV",TRUE,1,5,1,FALSE,15,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Spam filter,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator T,POT010,General,prepaid,Los Angeles,,TRUE,,Individual,Go5G Essentials,30,60,90,90,0,0,monthly,26.8,,50,0,0,0,No,Unlimited,unlimited,Yes,SD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,15,0,Yes,"Online,Store,App",5,0,0,,,1,,,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Spam filter,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator T,POT011,General,prepaid,Dallas,,TRUE,,Individual,Go5G Next,80,160,180,,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,unlimited,Yes,SD,unlimited,unlimited,unlimited,"Mexico , Canada",Yes,15,0,Yes,"Online,Store,App",5,0,0,,,1,,,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Spam filter,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator T,POT012,Military and veterans,prepaid,Los Angeles,,TRUE,,Individual,Go5G Military,30,60,90,120,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,unlimited,Yes,HD,5,,,,Yes,15,0,Yes,"Online,Store,App",5,0,0,"Netflix, Apple TV",TRUE,1,,,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator T,POT013,Military and veterans,prepaid,Los Angeles,,TRUE,,Individual,Go5G Plus Military,40,80,120,160,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,unlimited,Yes,4K UHD,5,,,,Yes,50,0,Yes,"Online,Store,App",5,0,0,"Netflix, Apple TV",TRUE,1,,,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,Unlimited in-flight Service,0,1,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator T,POT014,Military and veterans,prepaid,Dallas,,TRUE,,Individual,Go5G Next Military,50,100,150,200,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,unlimited,Yes,4K UHD,5,,,,Yes,50,0,Yes,"Online,Store,App",5,Discounted Watch and Tablet lines Just $5/month,0,"Netflix, Apple TV",TRUE,1,,,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,Unlimited in-flight Service,0,1,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Apple,16 pro,White,128,999.99,one time
Operator T,POT015,First Responders,prepaid,Dallas,,TRUE,,Individual,Go5G First Responder,60,,,,0,35,monthly,0,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and  to 215+ countries,Yes,HD,10,0,0,"Mexico , Canada",Yes,0,0,Yes,"Online,Store,App",5,0,0,"Apple TV , Netflix",TRUE,1,"5
","1
",FALSE,15,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,"4 full-flight streaming sessions a year unlimited in-flight texting
1 hour of streaming, where available",0,,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator T,POT016,First Responders,prepaid,Dallas,,TRUE,,Family & CUG,Go5G First Responder,,45,,,0,35,monthly,0,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and  to 215+ countries,Yes,HD,10,0,0,"Mexico , Canada",Yes,0,0,Yes,"Online,Store,App",5,0,0,"Apple TV , Netflix",TRUE,1,"5
","1
",FALSE,15,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,"4 full-flight streaming sessions a year unlimited in-flight texting
1 hour of streaming, where available",0,,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator T,POT017,First Responders,prepaid,Dallas,,TRUE,,Family & CUG,Go5G First Responder,,,35,,0,35,monthly,0,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and  to 215+ countries,Yes,HD,10,0,0,"Mexico , Canada",Yes,0,0,Yes,"Online,Store,App",5,0,0,"Apple TV , Netflix",TRUE,1,"5
","1
",FALSE,15,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,"4 full-flight streaming sessions a year unlimited in-flight texting
1 hour of streaming, where available",0,,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator T,POT018,First Responders,prepaid,Dallas,,TRUE,,Family & CUG,Go5G First Responder,,,,30,0,35,monthly,0,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and  to 215+ countries,Yes,HD,10,0,0,"Mexico , Canada",Yes,0,0,Yes,"Online,Store,App",5,0,0,"Apple TV , Netflix",TRUE,1,"5
","1
",FALSE,15,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,"4 full-flight streaming sessions a year unlimited in-flight texting
1 hour of streaming, where available",0,,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Apple,13,Black,128,629.99,one time
Operator T,POT019,55+,prepaid,Los Angeles,,TRUE,,Individual,Go5G Plus 55,75,110,165,,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,unlimited,Yes,4K UHD,15,0,unlimited,"Mexico , Canada",Yes,0,0,Yes,"Online,Store,App",5,Discounted Watch and Tablet lines Just $5/month,0,"Apple TV , Netflix",TRUE,1,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,"4 full-flight streaming sessions a year unlimited in-flight texting
1 hour of streaming, where available",0,,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator T,POT020,55+,prepaid,Los Angeles,,TRUE,,Individual,Go5G Next 55,80,140,195,,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,unlimited,Yes,4K UHD,15,0,unlimited,"Mexico , Canada",Yes,0,0,Yes,"Online,Store,App",5,Discounted Watch and Tablet lines Just $5/month,0,"Apple TV , Netflix, Hulu",TRUE,1,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,"4 full-flight streaming sessions a year unlimited in-flight texting
1 hour of streaming, where available",0,,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator T,POT021,55+,prepaid,Los Angeles,,TRUE,,Individual,Go5G 55,60,90,135,,0,0,monthly,0,,100,0,0,0,No,Unlimited,unlimited,Yes,HD,,,,,Yes,15,0,Yes,"Online,Store,App",5,,0,"Apple TV , Netflix",TRUE,1,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,"4 full-flight streaming sessions a year unlimited in-flight texting
1 hour of streaming, where available",0,,TRUE,"1 year free AAA membership,
Dedicated customer care",TRUE,Spam filter,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator T,POT022,General,prepaid,Los Angeles,,FALSE,,Individual,5GB Plan,30,,,,0,0,monthly,0,,5,0,0,0,No,0,0,Yes,HD,10,0,0,"Mexico , Canada",NO,15,0,NO,"Online,Store,App",5,,0,NA,FALSE,0,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
Operator C,POC001,General,prepaid,Los Angeles,,FALSE,,Individual,$15 Smartphone Plan,15,15,15,15,0.99,0,monthly,0,,1,0,0,0,Yes,Unlimited,unlimited,Yes,SD,0,0,0,NA,NO,1,0,NO,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator C,POC002,General,prepaid,Los Angeles,,FALSE,,Individual,Smartphone Plan,40,40,40,40,0.99,0,monthly,0,,20,0,0,0,Yes,Unlimited,unlimited,Yes,SD,0,0,0,NA,Yes,20,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,19,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
Operator D,POD001,General,prepaid,Dallas,,FALSE,,Individual,Truly Unlimited +,60,,,,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,Unlimited,Yes,HD,0,unlimited,0,85+ countries,Yes,15,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,NA,NA,FALSE,NA,50,0,TRUE,20 $ ,0,TRUE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator D,POD002,General,prepaid,Dallas,,FALSE,,Family & CUG,Truly Unlimited +,,25,25,25,0,0,monthly,0,,Unlimited,0,0,0,No,Unlimited,Unlimited,Yes,HD,0,unlimited,0,85+ countries,Yes,15,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,NA,NA,FALSE,NA,50,0,TRUE,20 $,0,TRUE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Motorola,Edge,Blue,256,299.99,one time
Operator M,POM001,General,prepaid,Los Angeles,,FALSE,,Individual,4GB Plan,15,,,,0,0,monthly,0,,4,0,0,0,No,0,0,Yes,HD,0,unlimited,0,"Mexico , Canada",Yes,4,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator M,POM002,55+,prepaid,Dallas,,FALSE,,Individual,Mint 55+,15,,,,0,0,monthly,0,,4,0,0,0,No,Unlimited,Unlimited,Yes,HD,0,unlimited,0,"Mexico , Canada",Yes,4,0,Yes,"Online,Store,App",0,0,0,NA,FALSE,0,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,13,Black,128,629.99,one time
Operator T,POT001,General,prepaid,Los Angeles,Best Value,TRUE,,Individual,Operator T 5G unlimited,55,,,,0.99,0,monthly,0,,unlimited,0,0,0,No,Unlimited,unlimted,Yes,HD,0,unlimited,unlimited,200+ countries,NO,15,0,Yes,"Online,Store,App",5,0,0,Disney+ premium,TRUE,6,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro max,Black,256,1199.99,one time
Operator T,POT002,General,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Operator T 5G unlimited,,42.5,,,0.99,0,monthly,0,,unlimited,0,0,0,No,Unlimited,unlimted,Yes,HD,0,unlimited,unlimited,200+ countries,Yes,15,0,Yes,"Online,Store,App",5,0,0,Disney+ premium,TRUE,6,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator T,POT003,General,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Operator T 5G unlimited,,,36.67,,0.99,0,monthly,0,,unlimited,0,0,0,No,Unlimited,unlimted,Yes,HD,0,unlimited,unlimited,200+ countries,Yes,15,0,Yes,"Online,Store,App",5,0,0,Disney+ premium,TRUE,6,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator T,POT004,General,prepaid,Los Angeles,Best Value,TRUE,,Family & CUG,Operator T 5G unlimited,,,,27.5,0.99,0,monthly,0,,unlimited,0,0,0,No,Unlimited,unlimted,Yes,HD,0,unlimited,unlimited,200+ countries,Yes,15,0,Yes,"Online,Store,App",5,0,0,Disney+ premium,TRUE,6,NA,NA,FALSE,NA,NA,FALSE,NA,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,Apple,16 pro,White,128,999.99,one time
